Waste type,Month,Value,Source_Sheet
Wet waste,C&D Block,11,May2025
Dry waste,C&D Block,17,May2025
TOTAL (Kg),C&D Block,28,May2025
Waste type,C&D Block,C&D Block ,May2025
Wet waste,C&D Block,41,May2025
Dry waste,C&D Block,11,May2025
TOTAL (Kg),C&D Block,52,May2025
Waste type,C&D Block,C&D Block ,May2025
Wet waste,C&D Block,51,May2025
Dry waste,C&D Block,6,May2025
TOTAL (Kg),C&D Block,57,May2025
Waste type,C&D Block,C&D Block ,May2025
Wet waste,C&D Block,11,May2025
Dry waste,C&D Block,7,May2025
TOTAL (Kg),C&D Block,18,May2025
Waste type,C&D Block,C&D Block ,May2025
Wet waste,C&D Block,17,May2025
Dry waste,C&D Block,4,May2025
TOTAL (Kg),C&D Block,21,May2025
Waste type,C&D Block,C&D Block ,May2025
Wet waste,C&D Block,18,May2025
Dry waste,C&D Block,15,May2025
TOTAL (Kg),C&D Block,33,May2025
Waste type,C&D Block,C&D Block ,May2025
Wet waste,C&D Block,36,May2025
Dry waste,C&D Block,25,May2025
TOTAL (Kg),C&D Block,61,May2025
Waste type,C&D Block,C&D Block,May2025
Wet waste,C&D Block,40,May2025
Dry waste,C&D Block,18,May2025
TOTAL (Kg),C&D Block,58,May2025
Waste type,C&D Block,C&D Block,May2025
Wet waste,C&D Block,56,May2025
Dry waste,C&D Block,18,May2025
TOTAL (Kg),C&D Block,74,May2025
Waste type,C&D Block,C&D Block ,May2025
Wet waste,C&D Block,18,May2025
Dry waste,C&D Block,24,May2025
TOTAL (Kg),C&D Block,42,May2025
Waste type,C&D Block,C&D Block ,May2025
Wet waste,C&D Block,21,May2025
Dry waste,C&D Block,23,May2025
TOTAL (Kg),C&D Block,44,May2025
Waste type,C&D Block,C&D Block ,May2025
Wet waste,C&D Block,40,May2025
Dry waste,C&D Block,23,May2025
TOTAL (Kg),C&D Block,63,May2025
Waste type,C&D Block,C&D Block ,May2025
Wet waste,C&D Block,40,May2025
Dry waste,C&D Block,36,May2025
TOTAL (Kg),C&D Block,76,May2025
Waste type,C&D Block,C&D Block,May2025
Wet waste,C&D Block,40,May2025
Dry waste,C&D Block,22,May2025
TOTAL (Kg),C&D Block,62,May2025
Waste type,C&D Block,C&D Block,May2025
Wet waste,C&D Block,45,May2025
Dry waste,C&D Block,18,May2025
TOTAL (Kg),C&D Block,63,May2025
Waste type,C&D Block,C&D Block,May2025
Wet waste,C&D Block,56,May2025
Dry waste,C&D Block,18,May2025
TOTAL (Kg),C&D Block,74,May2025
Waste type,C&D Block,C&D Block,May2025
Wet waste,C&D Block,21.1,May2025
Dry waste,C&D Block,14.2,May2025
TOTAL (Kg),C&D Block,35.3,May2025
Waste type,C&D Block,C&D Block,May2025
Wet waste,C&D Block,56,May2025
Dry waste,C&D Block,18,May2025
TOTAL (Kg),C&D Block,74,May2025
Waste type,C&D Block,C&D Block,May2025
Wet waste,C&D Block,36.1,May2025
Dry waste,C&D Block,21.2,May2025
TOTAL (Kg),C&D Block,57.3,May2025
Wet waste,L H Hostel,0,May2025
Dry waste,L H Hostel,0,May2025
TOTAL (Kg),L H Hostel,0,May2025
Waste type,L H Hostel,L H Hostel,May2025
Wet waste,L H Hostel,20.5,May2025
Dry waste,L H Hostel,10,May2025
TOTAL (Kg),L H Hostel,30.5,May2025
Waste type,L H Hostel,L H Hostel,May2025
Wet waste,L H Hostel,0,May2025
Dry waste,L H Hostel,0,May2025
TOTAL (Kg),L H Hostel,0,May2025
Waste type,L H Hostel,L H Hostel,May2025
Wet waste,L H Hostel,9,May2025
Dry waste,L H Hostel,15,May2025
TOTAL (Kg),L H Hostel,24,May2025
Waste type,L H Hostel,L H Hostel,May2025
Wet waste,L H Hostel,0,May2025
Dry waste,L H Hostel,0,May2025
TOTAL (Kg),L H Hostel,0,May2025
Waste type,L H Hostel,L H Hostel,May2025
Wet waste,L H Hostel,26,May2025
Dry waste,L H Hostel,10,May2025
TOTAL (Kg),L H Hostel,36,May2025
Waste type,L H Hostel,L H Hostel,May2025
Wet waste,L H Hostel,0,May2025
Dry waste,L H Hostel,0,May2025
TOTAL (Kg),L H Hostel,0,May2025
